,title,rating,year,actors,runtime,url
325,Kukushka,7.8,2002,Anni-Kristiina Juuso;Ville Haapasalo;Viktor Bychkov;Mikhail Korobochkin,99,https://www.imdb.com//title/tt0308476/
329,Bang Bang You're Dead,7.8,2002,Tom Cavanagh;Ben Foster;Randy Harrison;Janel Moloney,93,https://www.imdb.com//title/tt0288439/
330,Lilja 4-ever,7.8,2002,Oksana Akinshina;Artyom Bogucharskiy;Pavel Ponomaryov;Lyubov Agapova,109,https://www.imdb.com//title/tt0300140/
338,The Count of Monte Cristo,7.8,2002,Jim Caviezel;Guy Pearce;Christopher Adamson;JB Blanc,131,https://www.imdb.com//title/tt0245844/
342,Soldier's Girl,7.8,2003,Troy Garity;Lee Pace;Andre Braugher;Shawn Hatosy,112,https://www.imdb.com//title/tt0324013/
343,Ondskan,7.8,2003,Andreas Wilson;Henrik Lundström;Gustaf Skarsgård;Linda Zilliacus,113,https://www.imdb.com//title/tt0338309/
344,Les triplettes de Belleville,7.8,2003,Michèle Caucheteux;Jean-Claude Donda;Michel Robin;Monica Viegas,80,https://www.imdb.com//title/tt0286244/
345,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,7.8,2003,Romanthony;Thomas Bangalter,68,https://www.imdb.com//title/tt0368667/
346,Gangaajal,7.8,2003,Ajay Devgn;Gracy Singh;Mohan Joshi;Yashpal Sharma,157,https://www.imdb.com//title/tt0373856/
369,Arya,7.8,2004,Allu Arjun;Anuradha Mehta;Siva Balaji;Rajan P. Dev,151,https://www.imdb.com//title/tt0431619/
370,Mind Game,7.8,2004,Kôji Imada;Sayaka Maeda;Takashi Fujii;Seiko Takuma,103,https://www.imdb.com//title/tt0452039/
374,Veer-Zaara,7.8,2004,Shah Rukh Khan;Preity Zinta;Rani Mukerji;Kirron Kher,192,https://www.imdb.com//title/tt0420332/
376,Inside I'm Dancing,7.8,2004,James McAvoy;Steven Robertson;Romola Garai;Alan King,104,https://www.imdb.com//title/tt0417791/
380,Kung fu,7.8,2004,Stephen Chow;Wah Yuen;Qiu Yuen;Siu-Lung Leung,99,https://www.imdb.com//title/tt0373074/
409,"Va, vis et deviens",7.8,2005,Yaël Abecassis;Roschdy Zem;Moshe Agazai;Moshe Abebe,140,https://www.imdb.com//title/tt0388505/
412,Burt Munro: The World's Fastest Indian,7.8,2005,Anthony Hopkins;Diane Ladd;Iain Rea;Tessa Mitchell,127,https://www.imdb.com//title/tt0412080/
413,Serenity,7.8,2005,Nathan Fillion;Gina Torres;Chiwetel Ejiofor;Alan Tudyk,119,https://www.imdb.com//title/tt0379786/
414,Pride & Prejudice,7.8,2005,Keira Knightley;Matthew Macfadyen;Brenda Blethyn;Donald Sutherland,129,https://www.imdb.com//title/tt0414387/
416,Adams æbler,7.8,2005,Ulrich Thomsen;Mads Mikkelsen;Nicolas Bro;Paprika Steen,94,https://www.imdb.com//title/tt0418455/
427,Little Miss Sunshine,7.8,2006,Steve Carell;Toni Collette;Greg Kinnear;Abigail Breslin,101,https://www.imdb.com//title/tt0449059/
443,Kader,7.8,2006,Ufuk Bayraktar;Vildan Atasever;Engin Akyürek;Müge Ulusoy,103,https://www.imdb.com//title/tt0875595/
444,Kiraware Matsuko no isshô,7.8,2006,Miki Nakatani;Eita Nagayama;Yûsuke Iseya;Mikako Ichikawa,130,https://www.imdb.com//title/tt0768120/
445,Apocalypto,7.8,2006,Gerardo Taracena;Raoul Max Trujillo;Dalia Hernández;Rudy Youngblood,139,https://www.imdb.com//title/tt0472043/
446,The Fall,7.8,2006,Lee Pace;Catinca Untaru;Justine Waddell;Kim Uylenbroek,117,https://www.imdb.com//title/tt0460791/
